dataset,zs,oracle,best oracle,accum,best accum,best oracle - zs
serengeti_serengeti_P05,0.84,0.79,0.62,,,-0.22
serengeti_serengeti_K06,0.90,0.85,0.73,,,-0.17
serengeti_serengeti_U10,0.85,0.86,0.69,,,-0.16
nz_nz_DWT_BCAM419_2022_1,0.97,0.92,0.86,,,-0.11
serengeti_serengeti_T13,0.78,0.66,0.67,0.65,0.71,-0.11
serengeti_serengeti_C04,0.89,0.87,0.79,,,-0.10
serengeti_serengeti_N05,0.86,0.81,0.76,,,-0.10
serengeti_serengeti_N10,0.67,0.72,0.57,0.56,,-0.10
serengeti_serengeti_F05,0.78,0.71,0.69,,,-0.09
serengeti_serengeti_M05,0.84,0.78,0.75,,,-0.09
serengeti_serengeti_Q13,0.86,0.67,0.77,,,-0.09
na_na_lebec_CA-12,0.91,0.88,0.83,,,-0.08
MAD_MAD_MAD03,0.83,0.81,0.76,,,-0.07
na_na_archbold_FL-23,0.81,0.72,0.74,,,-0.07
serengeti_serengeti_Q06,0.83,0.82,0.76,,,-0.07
serengeti_serengeti_D08,0.91,0.89,0.85,,0.90,-0.06
na_na_archbold_FL-05,0.92,0.80,0.87,,,-0.05
na_na_archbold_FL-20,0.95,0.88,0.90,,,-0.05
na_na_lebec_CA-10,0.93,0.96,0.88,,,-0.05
serengeti_serengeti_B07,0.78,0.74,0.73,,,-0.05
serengeti_serengeti_C07,0.88,0.81,0.83,,,-0.05
serengeti_serengeti_D03,0.91,0.94,0.86,,,-0.05
serengeti_serengeti_L05,0.73,0.71,0.68,,,-0.05
serengeti_serengeti_O05,0.79,0.81,0.74,0.65,0.79,-0.05
serengeti_serengeti_P04,0.82,0.81,0.77,,,-0.05
MAD_MAD_MAD06,0.79,0.84,0.75,,,-0.04
serengeti_serengeti_I03,0.79,0.77,0.75,,,-0.04
serengeti_serengeti_P06,0.79,0.79,0.75,,,-0.04
serengeti_serengeti_T12,0.78,0.85,0.74,,,-0.04
na_na_archbold_FL-19,0.94,0.90,0.91,,,-0.03
na_na_lebec_CA-27,0.95,0.93,0.92,,,-0.03
nz_nz_EFD_DCAMF09,0.88,0.97,0.85,,0.84,-0.03
nz_nz_EFD_DCAMH02,0.97,0.89,0.94,0.70,0.91,-0.03
nz_nz_PS1_CAM7816,0.92,0.90,0.89,,,-0.03
serengeti_serengeti_G05,0.89,0.86,0.86,,,-0.03
serengeti_serengeti_J03,0.75,0.80,0.72,,,-0.03
serengeti_serengeti_P09,0.88,0.84,0.85,,,-0.03
APN_APN_K053,0.96,0.81,0.94,0.76,0.95,-0.02
caltech_caltech_114,0.89,0.88,0.87,,,-0.02
na_na_archbold_FL-28,0.85,0.64,0.83,,,-0.02
na_na_archbold_FL-31,0.91,0.85,0.89,,,-0.02
serengeti_serengeti_B08,0.82,0.79,0.80,,,-0.02
serengeti_serengeti_C10,0.87,0.82,0.85,,,-0.02
serengeti_serengeti_E06,0.87,0.87,0.85,,,-0.02
serengeti_serengeti_J07,0.89,0.74,0.87,,,-0.02
serengeti_serengeti_K09,0.82,0.78,0.80,,,-0.02
serengeti_serengeti_M07,0.67,0.71,0.65,,,-0.02
serengeti_serengeti_R08,0.80,0.76,0.78,,,-0.02
serengeti_serengeti_R12,0.78,0.81,0.76,0.73,,-0.02
serengeti_serengeti_S09,0.84,0.83,0.82,,,-0.02
caltech_caltech_57,0.97,0.89,0.96,,,-0.01
CDB_CDB_D06,0.93,0.92,0.92,,,-0.01
KGA_KGA_KHOGB03,0.92,0.87,0.91,,,-0.01
MAD_MAD_I08,0.87,0.91,0.86,,0.87,-0.01
MTZ_MTZ_C08,0.91,0.91,0.90,,,-0.01
na_na_archbold_FL-26,0.94,0.81,0.93,,,-0.01
na_na_lebec_CA-03,0.89,0.76,0.88,,,-0.01
nz_nz_EFD_DCAMD11,0.97,0.96,0.96,,,-0.01
nz_nz_EFD_DCAME04,0.87,0.92,0.86,,,-0.01
nz_nz_EFD_DCAME08,0.88,0.90,0.87,,,-0.01
nz_nz_EFH_HCAME03,0.86,0.82,0.85,,,-0.01
nz_nz_EFH_HCAMF09,0.88,0.93,0.87,,,-0.01
nz_nz_EFH_HCAMJ04,0.91,0.91,0.90,,,-0.01
serengeti_serengeti_C05,0.69,0.65,0.68,,,-0.01
serengeti_serengeti_J04,0.84,0.87,0.83,,,-0.01
serengeti_serengeti_K03,0.82,0.83,0.81,,,-0.01
serengeti_serengeti_K07,0.84,0.87,0.83,0.72,,-0.01
serengeti_serengeti_K13,0.75,0.59,0.74,0.42,0.70,-0.01
serengeti_serengeti_Q12,0.83,0.86,0.82,0.73,,-0.01
serengeti_serengeti_S13,0.86,0.80,0.85,,,-0.01
APN_APN_JJ6,0.99,0.86,0.99,,,0.00
APN_APN_JJ7,0.99,0.98,0.99,,,0.00
APN_APN_K034,0.97,0.86,0.97,0.78,0.98,0.00
APN_APN_N1,0.94,0.82,0.94,,0.92,0.00
APN_APN_U24B,0.93,0.81,0.93,,,0.00
caltech_caltech_23,0.96,0.89,0.96,,,0.00
ENO_ENO_B03,0.98,0.88,0.98,,,0.00
ENO_ENO_C03,0.97,0.80,0.97,0.85,0.97,0.00
idaho_idaho_109,0.97,0.91,0.97,,,0.00
idaho_idaho_118,0.95,0.91,0.95,,,0.00
idaho_idaho_121,0.98,0.84,0.98,,,0.00
idaho_idaho_86,0.98,0.87,0.98,0.87,0.95,0.00
KAR_KAR_E03,0.95,0.84,0.95,,,0.00
KRU_KRU_8,0.97,0.87,0.97,,,0.00
MTZ_MTZ_D03,0.89,0.82,0.89,0.82,0.88,0.00
na_na_archbold_FL-16,0.91,0.91,0.91,,,0.00
na_na_archbold_FL-38,0.90,0.42,0.90,,,0.00
na_na_archbold_FL-39,0.95,0.72,0.95,,,0.00
na_na_archbold_FL-42,0.82,0.87,0.82,,,0.00
nz_nz_DWT_BCAM668_2022_1,0.97,0.98,0.97,,,0.00
nz_nz_EFD_DCAMG03,0.96,0.92,0.96,,0.95,0.00
nz_nz_EFD_DCAMH06,0.93,0.88,0.93,,0.91,0.00
nz_nz_EFD_DCAMH08,0.94,0.89,0.94,,,0.00
nz_nz_EFH_HCAMD04,0.80,0.88,0.80,0.63,,0.00
nz_nz_EFH_HCAMG12,0.88,0.79,0.88,,,0.00
nz_nz_EFH_HCAMH05,0.87,0.98,0.87,,,0.00
nz_nz_EFH_HCAMI01,0.82,0.94,0.82,0.50,0.70,0.00
nz_nz_PS1_CAM8001,0.94,0.90,0.94,,,0.00
nz_nz_ZIO_TRAILCAM01,0.94,0.86,0.94,,,0.00
RUA_RUA_M2,0.98,0.45,0.98,0.85,0.97,0.00
serengeti_serengeti_C01,0.88,0.89,0.88,,,0.00
serengeti_serengeti_E08,0.70,0.65,0.70,0.57,0.56,0.00
